stabf,g4,g3,g2,g1,p4,p3,p2,p1,tau4,tau3,tau2,tau1
0,0.958033988,0.887444921,0.859578106,0.650456461,-1.723086311,-1.25739483,-0.782603631,3.763084772,9.780754432,8.381025392,3.079885204,2.959060025
1,0.781759911,0.562139051,0.862414076,0.413440568,-1.255011992,-1.872741686,-1.940058427,5.067812104,1.369357355,3.047540728,4.902524112,9.304097235
0,0.109853245,0.839444015,0.766688657,0.163041039,-0.920492441,-1.277210147,-1.207455592,3.40515818,1.214518138,3.046478749,8.848428421,8.971706909
0,0.362717774,0.929380523,0.976744083,0.446208907,-0.997373606,-1.938944153,-1.027473304,3.963791063,2.340562984,4.486640831,7.669599644,0.716414776
0,0.820923486,0.656946658,0.455449947,0.797109526,-0.554305008,-1.845974854,-1.125530955,3.525810817,9.85757327,4.943759302,7.608771616,3.134111552
1,0.469931041,0.542883859,0.077929672,0.261792854,-1.902132818,-0.670396827,-1.857139177,4.429668823,4.267787603,3.784065909,9.109246716,6.999208709
0,0.376630279,0.402045952,0.39797658,0.177889561,-0.574003776,-1.208825891,-0.614589562,2.397419229,8.818561923,6.929314439,3.765204184,6.710166368
0,0.380544479,0.732740894,0.633203555,0.371384853,-1.288980478,-1.186516928,-0.748997751,3.224495158,7.870307426,5.71940003,1.379125002,6.953511558
1,0.482439411,0.164941119,0.250364217,0.269708271,-1.392751026,-1.238204276,-1.410344312,4.041299614,3.733787492,1.478572876,4.007747462,4.689851927
0,0.116262822,0.792039425,0.544415316,0.376355981,-1.878594467,-0.857637207,-1.991363368,4.727595042,7.641616263,9.769855549,1.413821592,9.841496488
1,0.753701356,0.164461028,0.563109594,0.239815633,-0.507670728,-1.11691963,-0.702501235,2.327091593,0.533287513,6.245137901,6.730873374,5.930110118
0,0.628860424,0.349143851,0.173568817,0.359974025,-1.685504571,-1.84933258,-1.972713854,5.507551005,6.769247699,8.095174157,8.014521017,5.381299257
1,0.077610126,0.303920578,0.866545796,0.899698249,-0.986815918,-1.280581451,-1.484884545,3.752281914,4.191803849,0.819791186,2.939228107,1.616786837
0,0.472192078,0.354342488,0.280982858,0.612403529,-1.916026234,-1.167061235,-1.808626267,4.891713735,9.926807281,2.54996383,8.314952223,8.55159821
0,0.674389868,0.599003856,0.524172882,0.352291991,-1.824823603,-1.362777409,-1.846079542,5.033680553,7.248583478,8.951078545,2.920324023,1.132107594
